blocker_id,evidence_file_type,evidence_key,local_public_shell_value,accepted_for_blocker_closure,gap_status,external_dependency_required,engineering_implementation_required,human_review_required,notes
pricing_page,production_billing_revenue_evidence,human_approved_pricing_page_copy,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
pricing_page,production_billing_revenue_evidence,approved_plan_and_usage_terms,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
pricing_page,production_billing_revenue_evidence,legal_review_completed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
pricing_page,production_billing_revenue_evidence,production_readiness_non_claim_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,False,True,Local evidence is review input only; it does not close the production blocker.
pricing_page,production_billing_revenue_evidence,pricing_page_publication_approval_recorded,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
payment_provider,production_billing_revenue_evidence,payment_provider_selected,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
payment_provider,production_billing_revenue_evidence,test_mode_configuration_reviewed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
payment_provider,production_billing_revenue_evidence,checkout_enablement_approval_required,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,False,True,Local evidence is review input only; it does not close the production blocker.
payment_provider,production_billing_revenue_evidence,webhook_signature_validation_tested,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
payment_provider,production_billing_revenue_evidence,payment_event_redaction_reviewed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
payment_provider,production_billing_revenue_evidence,security_review_completed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
invoice_process,production_billing_revenue_evidence,invoice_owner_named,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
invoice_process,production_billing_revenue_evidence,invoice_workflow_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
invoice_process,production_billing_revenue_evidence,contract_handoff_defined,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
invoice_process,production_billing_revenue_evidence,payment_reconciliation_tested,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
invoice_process,production_billing_revenue_evidence,billing_support_handoff_defined,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
invoice_process,production_billing_revenue_evidence,bookkeeping_review_completed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tax_review,production_billing_revenue_evidence,target_jurisdictions_reviewed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tax_review,production_billing_revenue_evidence,tax_obligations_reviewed,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tax_review,production_billing_revenue_evidence,invoice_wording_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tax_review,production_billing_revenue_evidence,currency_policy_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tax_review,production_billing_revenue_evidence,tax_collection_approval_recorded,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
refund_policy,production_billing_revenue_evidence,refund_policy_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
refund_policy,production_billing_revenue_evidence,cancellation_process_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
refund_policy,production_billing_revenue_evidence,trial_conversion_policy_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
refund_policy,production_billing_revenue_evidence,service_failure_remedy_boundary_approved,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
refund_policy,production_billing_revenue_evidence,support_escalation_route_defined,False,False,missing_external_or_human_production_evidence,True,False,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tenant_billing_isolation,production_billing_revenue_evidence,tenant_billing_account_model_approved,False,False,missing_external_or_human_production_evidence,False,True,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tenant_billing_isolation,production_billing_revenue_evidence,tenant_invoice_partitioning_tested,False,False,missing_external_or_human_production_evidence,False,True,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tenant_billing_isolation,production_billing_revenue_evidence,tenant_payment_event_partitioning_tested,False,False,missing_external_or_human_production_evidence,False,True,True,"Production-grade external, engineering, or human-approved evidence is still missing."
tenant_billing_isolation,production_billing_revenue_evidence,cross_tenant_billing_access_tests_passed,False,False,missing_external_or_human_production_evidence,False,True,True,"Production-grade external, engineering, or human-approved evidence is still missing."
