workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,minimum_required,human_value_present,transfer_ready,source_path,human_filled_input_target,target_json_pointer,transfer_status,value_transferred
WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,True,False,False,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/assigned_human_owner,blocked_missing_human_input,False
WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,True,False,False,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/owner_contact_reference,blocked_missing_human_input,False
WB-003,support_contact,support_operations,first_owner_input,target_review_date,True,False,False,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/target_review_date,blocked_missing_human_input,False
WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,True,False,False,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/owner_acknowledged_scope,blocked_missing_human_input,False
WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,True,False,False,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/human_approval_reference,blocked_missing_human_input,False
WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/human_reviewer_name,blocked_missing_human_input,False
WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/review_date,blocked_missing_human_input,False
WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/selected_support_contact_channel,blocked_missing_human_input,False
WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/decision_summary,blocked_missing_human_input,False
WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,blocked_missing_human_input,False
