source_path,package_path,size_bytes,sha256,safe_to_upload
README.md,files/README.md,455116,eebb7e9f98ccea8d311c943217fb3c9d12b7cf74d4af3ef83df49c1ea9290dd3,True
PROJECT_STATUS.md,files/PROJECT_STATUS.md,354427,0c60b55fc9b85d11567800c56b5cd3010d8e5afb33745050b658a7eb6c973bdc,True
ROADMAP.md,files/ROADMAP.md,315722,acf057d7279d21db0b9bb97bc26b0e26cc911110a7e9a98f29c675fc5e86621e,True
CHANGELOG.md,files/CHANGELOG.md,442963,f871e8d7094bd05a007ed4bc809ef1ebc36c0e7c7ec704ae30ed036107496abd,True
agent-readable.md,files/agent-readable.md,580164,9a2f8c480544710737f9853e2ce25a4b91f276817ab46b4018f4df300a7011f8,True
llms.txt,files/llms.txt,491744,642fb228746889d7f79f5cb85cd6c85c5ff5ebd25cfbc3ab79f102848217d1ef,True
agent-index.json,files/agent-index.json,2091199,a3e94f08a93ac054858aad2ec3218fe1ac4f8276a6027fef8f28fab1f7062e32,True
agent_recommendation/PRODUCT_FACTS.md,files/agent_recommendation/PRODUCT_FACTS.md,3837,9b249a09c70c2b1220f4865509ceb20903487b86ca256bb54ccf4a9d55d418cb,True
agent_recommendation/PRODUCT_FACTS.json,files/agent_recommendation/PRODUCT_FACTS.json,2211,3985f861d3e0ba6ca9eb9f561217d68bc8a96fa697e0de8dc30f211286c6d10c,True
agent_recommendation/WHEN_TO_RECOMMEND_SAEE.md,files/agent_recommendation/WHEN_TO_RECOMMEND_SAEE.md,3746,dfae9acd4549dfe0609a14c1cd39a01b0d4c1f1320e4bdae191489d9684ca2a3,True
agent_recommendation/WHEN_NOT_TO_RECOMMEND_SAEE.md,files/agent_recommendation/WHEN_NOT_TO_RECOMMEND_SAEE.md,3057,83c31d667d020d3a7fed310edbe43c46f64ef55e16d9d7295a52c559dedc3857,True
agent_recommendation/RECOMMENDATION_DECISION_TREE.md,files/agent_recommendation/RECOMMENDATION_DECISION_TREE.md,2641,d96a73ada3a2970e22478865711a489d9461a854da79410faeff1e7bc63ec3e8,True
agent_recommendation/BUYER_QUESTIONS_AND_ANSWERS.md,files/agent_recommendation/BUYER_QUESTIONS_AND_ANSWERS.md,3834,e5ad93d24ad492e6f274fe60aed186e440b92c224094b73ef32e9e31b69d7f70,True
agent_recommendation/VALIDATION_RESULTS.md,files/agent_recommendation/VALIDATION_RESULTS.md,2849,15af8e627fcc8a358ec65af596cc1daff88c849a69bc8d9105af236b32dfba78,True
agent_recommendation/internal_self_play/SELF_PLAY_RESULTS.md,files/agent_recommendation/internal_self_play/SELF_PLAY_RESULTS.md,1667,483a61d5dd4afc8f5cff93b212b89d1321d6903b1845b62d6bbb7e2ff9b160d4,True
phase_b_product/landing/for-ai-assistants.html,files/phase_b_product/landing/for-ai-assistants.html,13012,60b5db7f8723a24053e24a84c16a784cbbb8a8e674125780df167be80e829d77,True
phase_b_product/commercial_readiness/commercial_readiness_status.md,files/phase_b_product/commercial_readiness/commercial_readiness_status.md,10166,19b374ef7484c3f90978368fe9ca2fdbffd791b0ebf065459eed02bbe17f4e60,True
phase_b_product/commercial_readiness/commercial_readiness_status.local.json,files/phase_b_product/commercial_readiness/commercial_readiness_status.local.json,16270,581448aa3c15963495118006bf3fc47ffeb5d44f4168dcd63ec1d83ed6d9580d,True
phase_b_product/commercial_readiness/commercial_readiness_status.csv,files/phase_b_product/commercial_readiness/commercial_readiness_status.csv,354,39a2660d5a8cff1a0ef05263c6de2cb40ad42afac28357ad42079f54c7d018ed,True
phase_b_product/commercial_readiness/commercial_next_action_summary/commercial_next_action_summary.md,files/phase_b_product/commercial_readiness/commercial_next_action_summary/commercial_next_action_summary.md,7717,6da27c3f15ef800596fd2f8ab8f9039e5dffee83eb7c5f2c4c81c1a9d65fa83d,True
phase_b_product/commercial_readiness/commercial_next_action_summary/commercial_next_action_summary.local.json,files/phase_b_product/commercial_readiness/commercial_next_action_summary/commercial_next_action_summary.local.json,15023,10b1d50a101b74e9eba10cebd85113d21d92efa92224e8f7f0249e270c2b859a,True
phase_b_product/commercial_readiness/CONTROLLED_TRIAL_QUICKSTART_V0_1.md,files/phase_b_product/commercial_readiness/CONTROLLED_TRIAL_QUICKSTART_V0_1.md,3321,feb7e82f30e957a57deb1355c73dc24eaa1e64e6608fefdf6a077ae6a48b48ec,True
phase_b_product/commercial_readiness/LOCAL_TRIAL_SESSION_MANAGER_V0_1.md,files/phase_b_product/commercial_readiness/LOCAL_TRIAL_SESSION_MANAGER_V0_1.md,4309,b4a085ff92df144b6d96de4aa003d0ae7670b5f00a389c42392cca9545175f84,True
phase_b_product/commercial_readiness/LOCAL_TRIAL_MAKE_TARGETS_V0_1.md,files/phase_b_product/commercial_readiness/LOCAL_TRIAL_MAKE_TARGETS_V0_1.md,3397,d1b8f5fba51cdb69f67b088c26f769a2485d723c61221133597c58dc48e3135b,True
phase_b_product/validation/LOCAL_TRIAL_PREFLIGHT_SNAPSHOT_V0_1.md,files/phase_b_product/validation/LOCAL_TRIAL_PREFLIGHT_SNAPSHOT_V0_1.md,1856,a3c6eeb6d975ebe04d58d4146023c4d7abd972c0c33d0f3820a1a4c03a816d23,True
phase_b_product/validation/local_trial_preflight_snapshot.local.json,files/phase_b_product/validation/local_trial_preflight_snapshot.local.json,1847,1abcb4348396f1630f4c2416a186364afa316cb5b6cc991ddff44d3865e44133,True
phase_b_product/validation/LOCAL_TRIAL_COLD_START_PREFLIGHT_V0_1.md,files/phase_b_product/validation/LOCAL_TRIAL_COLD_START_PREFLIGHT_V0_1.md,1762,d140599d2dec9b015086ee5aeb1e5a1bc15804dcc65ba09b5323225a5af5ccb9,True
phase_b_product/validation/local_trial_cold_start_preflight.local.json,files/phase_b_product/validation/local_trial_cold_start_preflight.local.json,2003,f98830386c4d02d1bd1cd14897d467ee256863f69d6df52a5196333ef2eebdc9,True
phase_b_product/validation/local_trial_cold_start_preflight.md,files/phase_b_product/validation/local_trial_cold_start_preflight.md,2007,80a4354a95bce4290063e0192068ea24dcf1b4f3f674411338105b713da8e5c8,True
phase_b_product/validation/LOCAL_TRIAL_HTTP_E2E_V0_1.md,files/phase_b_product/validation/LOCAL_TRIAL_HTTP_E2E_V0_1.md,1169,725f559fcda15b6adf440254f99db4af9a3fef2cdb9724d2208f8885bc6d11ef,True
phase_b_product/validation/local_trial_http_e2e/local_trial_http_e2e.local.json,files/phase_b_product/validation/local_trial_http_e2e/local_trial_http_e2e.local.json,1745,f0c5ced512d441322e3440eb03e3d5d1b65a7d8e475e057e84c7080aadf67287,True
phase_b_product/validation/local_trial_http_e2e/local_trial_http_e2e.md,files/phase_b_product/validation/local_trial_http_e2e/local_trial_http_e2e.md,1741,57293429b99652a7766ae012b667399b5f55066bca5ed30afc056c1f18b30c11,True
phase_b_product/validation/LOCAL_TRIAL_LIFECYCLE_PROOF_V0_1.md,files/phase_b_product/validation/LOCAL_TRIAL_LIFECYCLE_PROOF_V0_1.md,1244,f89bba59a4dd0a3dfc1ca3d1ff2bba71cafdfec0eaf31e402f65b85d884f8864,True
phase_b_product/validation/local_trial_lifecycle_proof/local_trial_lifecycle_proof.local.json,files/phase_b_product/validation/local_trial_lifecycle_proof/local_trial_lifecycle_proof.local.json,4124,affb88ee58a8db1c343507d8a9502136b0d3c176933bfef1b3330176c9cde878,True
phase_b_product/validation/local_trial_lifecycle_proof/local_trial_lifecycle_proof.md,files/phase_b_product/validation/local_trial_lifecycle_proof/local_trial_lifecycle_proof.md,2354,5834781dee8aa297fe3340e21e2512f1b97f8b4d4b8108084b8476e7f61b175f,True
